,Year,Type of Crime,Number of Crimes Reported,Gross Domestic Product (GDP)
0,2005,Homicide,"2,313",5.9
1,2005,Offences against morality,"3,153",5.9
2,2005,Other offences against persons,"17,304",5.9
3,2005,Robbery,"6,936",5.9
4,2005,Breakings,"8,454",5.9
5,2005,Theft of stock,"2,219",5.9
6,2005,Stealing,"12,589",5.9
7,2005,Theft by servant,"2,874",5.9
8,2005,Vehicles and other thefts,"1,718",5.9
9,2005,Dangerous drugs,"6,356",5.9
10,2005,Traffic offences,38,5.9
11,2005,Criminal damage,"3,236",5.9
12,2005,Economic crimes,"1,390",5.9
13,2005,Corruption,107,5.9
14,2005,Offences involving police officers,29,5.9
15,2005,Offences involving tourists,32,5.9
16,2005,Other penal code offences,"6,652",5.9
17,2006,Homicide,"2,090",6.3
18,2006,Offences against morality,"3,525",6.3
19,2006,Other offences against persons,"18,723",6.3
20,2006,Robbery,"5,234",6.3
21,2006,Breakings,"7,420",6.3
22,2006,Theft of stock,"2,209",6.3
23,2006,Stealing,"10,874",6.3
24,2006,Theft by servant,"2,700",6.3
25,2006,Vehicles and other thefts,"1,660",6.3
26,2006,Dangerous drugs,"5,821",6.3
27,2006,Traffic offences,62,6.3
28,2006,Criminal damage,"3,518",6.3
29,2006,Economic crimes,"1,873",6.3
30,2006,Corruption,252,6.3
31,2006,Offences involving police officers,76,6.3
32,2006,Offences involving tourists,84,6.3
33,2006,Other penal code offences,"6,104",6.3
34,2007,Homicide,"1,912",7
35,2007,Offences against morality,"3,673",7
36,2007,Other offences against persons,"17,831",7
37,2007,Robbery,"3,492",7
38,2007,Breakings,"6,337",7
39,2007,Theft of stock,"1,568",7
40,2007,Stealing,"10,749",7
41,2007,Theft by servant,"2,169",7
42,2007,Vehicles and other thefts,"1,221",7
43,2007,Dangerous drugs,"5,401",7
44,2007,Traffic offences,46,7
45,2007,Criminal damage,"2,770",7
46,2007,Economic crimes,"1,908",7
47,2007,Corruption,177,7
48,2007,Offences involving police officers,32,7
49,2007,Offences involving tourists,10,7
50,2007,Other penal code offences,"3,732",7
51,2008,Homicide,"2,037",1.5
52,2008,Offences against morality,"3,116",1.5
53,2008,Other offences against persons,"16,496",1.5
54,2008,Robbery,"3,401",1.5
55,2008,Breakings,"6,626",1.5
56,2008,Theft of stock,"2,269",1.5
57,2008,Stealing,"11,435",1.5
58,2008,Theft by servant,"2,387",1.5
59,2008,Vehicles and other thefts,"1,387",1.5
60,2008,Dangerous drugs,"4,407",1.5
61,2008,Traffic offences,120,1.5
62,2008,Criminal damage,"3,760",1.5
63,2008,Economic crimes,"1,898",1.5
64,2008,Corruption,133,1.5
65,2008,Offences involving police officers,33,1.5
66,2008,Offences involving tourists,6,1.5
67,2008,Other penal code offences,"3,994",1.5
68,2009,Homicide,"2,214",2.7
69,2009,Offences against morality,"4,068",2.7
70,2009,Other offences against persons,"20,539",2.7
71,2009,Robbery,"2,939",2.7
72,2009,Breakings,"7,053",2.7
73,2009,Theft of stock,"2,876",2.7
74,2009,Stealing,"11,972",2.7
75,2009,Theft by servant,"2,732",2.7
76,2009,Vehicles and other thefts,"1,439",2.7
77,2009,Dangerous drugs,"5,541",2.7
78,2009,Traffic offences,59,2.7
79,2009,Criminal damage,"3,417",2.7
80,2009,Economic crimes,"2,324",2.7
81,2009,Corruption,158,2.7
82,2009,Offences involving police officers,56,2.7
83,2009,Offences involving tourists,5,2.7
84,2009,Other penal code offences,"4,864",2.7
85,2010,Homicide,"2,239",5.8
86,2010,Offences against morality,"4,817",5.8
87,2010,Other offences against persons,"20,012",5.8
88,2010,Robbery,"2,843",5.8
89,2010,Breakings,"6,453",5.8
90,2010,Theft of stock,"2,244",5.8
91,2010,Stealing,"11,986",5.8
92,2010,Theft by servant,"2,591",5.8
93,2010,Vehicles and other thefts,"1,365",5.8
94,2010,Dangerous drugs,"5,081",5.8
95,2010,Traffic offences,103,5.8
96,2010,Criminal damage,"3,327",5.8
97,2010,Economic crimes,"2,662",5.8
98,2010,Corruption,62,5.8
99,2010,Offences involving police officers,37,5.8
100,2010,Offences involving tourists,1,5.8
101,2010,Other penal code offences,"4,956",5.8
102,2011,Homicide,"2,641",4.4
103,2011,Offences against morality,"4,703",4.4
104,2011,Other offences against persons,"20,144",4.4
105,2011,Robbery,"3,262",4.4
106,2011,Breakings,"7,325",4.4
107,2011,Theft of stock,"2,269",4.4
108,2011,Stealing,"13,797",4.4
109,2011,Theft by servant,"2,889",4.4
110,2011,Vehicles and other thefts,"1,768",4.4
111,2011,Dangerous drugs,"4,649",4.4
112,2011,Traffic offences,100,4.4
113,2011,Criminal damage,"3,345",4.4
114,2011,Economic crimes,"3,036",4.4
115,2011,Corruption,52,4.4
116,2011,Offences involving police officers,27,4.4
117,2011,Offences involving tourists,0,4.4
118,2011,Other penal code offences,"5,726",4.4
119,2012,Homicide,2761,4.6
120,2012,Offences against morality,4806,4.6
121,2012,Other offences against persons,20698,4.6
122,2012,Robbery,"3,262",4.6
123,2012,Breakings,"7,578",4.6
124,2012,Theft of stock,"2,377",4.6
125,2012,Stealing,"14,111",4.6
126,2012,Theft by servant,"2,984",4.6
127,2012,Vehicles and other thefts,"1,663",4.6
128,2012,Dangerous drugs,4181,4.6
129,2012,Traffic offences,66,4.6
130,2012,Criminal damage,3769,4.6
131,2012,Economic crimes,3369,4.6
132,2012,Corruption,49,4.6
133,2012,Offences involving police officers,69,4.6
134,2012,Offences involving tourists,0,4.6
135,2012,Other penal code offences,6109,4.6
136,2013,Homicide,"2,878",5.9
137,2013,Offences against morality,"4,779",5.9
138,2013,Other offences against persons,"19,344",5.9
139,2013,Robbery,"3,551",5.9
140,2013,Breakings,"6,397",5.9
141,2013,Theft of stock,"1,965",5.9
142,2013,Stealing,"11,455",5.9
143,2013,Theft by servant,"2,702",5.9
144,2013,Vehicles and other thefts,"1,631",5.9
