"NATIONAL ACCOUNTS","","","","",""
"","Growth of Gross Domestic Product by Activity at Constant Prices, 2009 - 2013","","","",""
"Table 29:","","","","",""
"Industry","2009","2010","2011","2012","2013"
"Agriculture and forestry","-2.6","6.4","1.5","4.2","2.9"
"Growing of crops and horticulture","-5.0","7.5","-0.1","5.2","3.4"
"Farming of animals","3.1","4.7","5.4","2.1","1.7"
"Agricultural and animal husbandry services","0.9","-1.1","0.5","0.8","1.4"
"Forestry and logging","1.1","1.1","1.3","3.9","3.5"
"Fishing","3.8","2.7","3.1","3.4","5.4"
"Mining and quarrying","-4.5","9.7","7.1","4.1","7.4"
"Manufacturing","1.3","4.5","3.4","3.2","4.8"
"Manufacture of food, beverages and tobacco","2.2","3.4","1.6","5.0","5.0"
"All other manufacturing","0.9","5.0","4.2","2.5","4.7"
"Electricity and water supply","-3.0","9.5","-2.6","10.3","5.9"
"Electricity supply","-5.2","11.9","-4.4","12.7","6.3"
"Water supply","3.6","3.0","3.0","3.8","4.7"
"Construction","12.7","4.5","4.3","4.8","5.5"
"Wholesale and retail trade, repairs","3.9","8.0","7.3","9.0","7.5"
"Hotels and restaurants","42.8","4.2","4.9","2.6","-4.5"
"Transport and communication","6.4","5.9","5.0","4.7","6.0"
"Transport and storage","4.0","6.9","5.4","3.3","3.6"
"Post and telecommunications","10.0","4.5","4.3","6.7","9.3"
"Financial intermediation","7.2","9.0","7.8","6.5","7.2"
"Real estate, renting and business services","3.0","3.2","3.6","3.3","4.3"
"Dwellings, owner occupied and rented","4.1","4.1","4.1","4.2","4.2"
"Renting and business services","1.8","2.2","3.0","2.4","4.5"
"Public administration and defence","1.6","2.3","2.5","2.7","4.7"
"Education","2.7","4.5","4.8","5.4","4.9"
"Health and social work","4.4","1.4","3.5","3.4","3.3"
"Other community, social and personal services","2.6","2.6","4.6","3.2","3.2"
"Private households with employed persons","2.0","2.0","2.0","2.0","2.0"
"Less: Financial services indirectly measured","13.9","-5.7","5.2","-1.0","17.5"
"All industries at basic prices","2.6","5.7","3.9","5.0","4.7"
"All industries excl. agriculture and forestry","4.4","5.5","4.7","5.2","5.2"
"Taxes less subsidies on products","3.8","6.4","7.8","2.0","4.7"
"GDP at market prices","2.7","5.8","4.4","4.6","4.7"
"Provisional","","","","",""
"Revised","","","","",""
