"NATIONAL ACCOUNTS","","","","",""
"Table 29: Growth of Gross Domestic Product by Activity at Constant Prices 2010-2014","","","","",""
"","","","","","Percentage"
"Industry","2010","2011","2012","2013","2014"
"Agriculture, forestry and fishing","10.1","2.4","2.9","5.2","3.5"
"Growing of crops","12.0","2.1","2.2","6.6","4.4"
"Animal production","6.0","0.4","2.2","1.0","0.2"
"Support activities to agriculture","11.0","15.0","15.8","3.9","4.1"
"Forestry & logging","2.5","4.6","8.1","4.8","4.2"
"Fishing & aquaculture","8.8","10.4","5.1","5.9","2.9"
"Mining and quarrying","31.7","19.0","19.0","-8.9","14.2"
"Manufacturing","4.5","7.2","-0.6","5.6","3.4"
"Manufacture of food, beverages and tobacco","6.6","7.6","5.7","10.5","4.0"
"All other manufacturing","3.5","7.1","-3.7","2.8","3.1"
"Electricity supply","3.5","13.3","13.6","9.8","6.8"
"Water supply; sewerage, waste management","10.5","3.6","3.1","0.9","3.6"
"Construction","19.1","4.0","11.3","5.8","13.1"
"Wholesale and retail trade, repairs","9.6","8.3","7.0","8.5","6.9"
"Transport and storage","5.0","7.1","2.7","1.2","5.0"
"Accommodation and food service activities","-0.5","4.1","3.1","-4.6","-17.2"
"Information communication technology","17.4","22.1","2.4","12.3","13.4"
"Telecommunications","20.8","29.2","4.9","17.2","20.4"
"Publishing, broadcasting, other IT and information activities","11.2","8.1","-3.2","-0.4","-7.3"
"Financial and insurance activities","17.7","4.6","6.0","8.1","8.3"
"Real estate","5.0","5.1","4.0","4.1","5.6"
"Professional, scientific and technical activities","3.0","1.3","6.2","6.7","3.6"
"Administrative and support service activities","2.9","2.5","2.3","1.2","2.0"
"Public administration and defence","1.4","2.4","4.0","3.1","5.5"
"Education","10.2","7.5","11.1","6.3","7.5"
"Human health and social work activities","6.2","-2.6","-2.8","7.7","7.2"
"Arts, entertainment and recreation","12.2","3.6","-2.7","3.0","3.2"
"Other service activities","3.5","1.1","4.0","7.3","6.5"
"Activities of households as employers;","1.5","1.5","1.5","1.5","1.5"
"Less: Financial services indirectly measured","15.9","9.1","10.1","5.2","11.2"
"All industries at basic prices","8.3","5.3","4.1","5.3","5.3"
"All industries excl. agriculture and forestry","","","","",""
"Taxes less subsidies on products","9.2","12.6","7.7","8.7","5.2"
"GDP at market prices","8.4","6.1","4.6","5.7","5.3"
"Provisional","","","","",""
