"NATIONAL ACCOUNTS","","","","",""
"","Table 2.5: Growth of Gross Domestic Product by Activity at Constant Prices, 2011-2015","","","",""
"","","","","","Percentage"
"Industry","2011","2012","2013","2014","2015"
"Agriculture, forestry and fishing","2.4","2.9","5.4","3.5","5.6"
"","","","⁺","",""
"Growing of crops","2.1","2.2","6.6","4.7","4.5"
"Animal production","0.4","2.2","2.0","1.9","12.8"
"Support activities to agriculture","15.0","15.8","3.8","-10.7","0.1"
"Forestry & logging","4.6","8.1","4.8","3.3","1.2"
"Fishing & aquaculture","10.4","5.1","5.9","2.1","-6.1"
"Mining and quarrying","19.0","19.0","-4.3","14.5","11.0"
"Manufacturing","7.2","-0.6","5.6","3.2","3.5"
"Manufacture of food, beverages and tobacco","7.6","5.7","10.5","3.2","5.6"
"All other manufacturing","7.1","-3.7","2.8","3.2","2.2"
"Electricity supply","13.3","13.6","9.8","7.3","9.7"
"Water supply; sewerage, waste management","3.6","3.1","1.0","4.1","1.9"
"Construction","4.0","11.3","6.0","13.1","13.6"
"Wholesale and retail trade, repairs","8.3","7.0","7.8","7.5","6.0"
"Transport and storage","7.1","2.7","1.5","4.6","7.1"
"Accommodation and food service activities","4.1","3.1","-4.6","-16.7","-1.3"
"Information communication technology","22.1","2.4","12.6","14.6","7.3"
"Telecommunications","29.2","4.9","17.3","20.1","8.5"
"Publishing, broadcasting, other IT and information activities","8.1","-3.2","0.7","-1.8","2.9"
"Financial and insurance activities","4.6","6.0","8.2","8.3","8.7"
"Real estate","5.1","4.0","4.1","5.6","6.2"
"Professional, scientific and technical activities","1.3","6.2","6.7","3.7","3.9"
"Administrative and support service activities","2.5","2.3","1.2","2.4","1.5"
"Public administration and defence","2.4","4.0","2.8","5.3","5.4"
"Education","7.5","11.1","6.4","6.3","4.7"
"Human health and social work activities","-2.6","-2.8","7.7","8.1","6.6"
"Arts, entertainment and recreation","3.6","-2.7","3.0","3.1","1.1"
"Other service activities","1.1","4.0","7.3","6.5","6.0"
"Activities of households as employers;","1.5","1.5","1.5","1.5","1.5"
"Less: Financial services indirectly measured","9.1","10.1","5.2","11.3","15.0"
"All industries at basic prices","5.3","4.1","5.4","5.3","5.8"
"All industries excl. agriculture and forestry","6.4","4.6","5.3","6.0","5.9"
"Taxes less subsidies on products","12.6","7.7","8.1","5.3","4.2"
"GDP at market prices","6.1","4.6","5.7","5.3","5.6"
"Provisional","","","","",""
