"NATIONAL ACCOUNTS","","","","","","",""
"","Table 2.5:  Growth of Gross Domestic Product by Activity at Constant Prices, 2012 - 2018","","","","","",""
"","","","","","","","Per cent"
"Industry","2012","2013","2014","2015","2016⁺","2017⁺","2018"
"Agriculture, forestry and fishing..................................................","2.8","5.4","4.4","5.3","4.7","1.9","6.4"
"Growing of crops.....................................................................","2.2","6.6","5.9","7.2","6.7","2.0","8.0"
"Animal production...................................................................","1.7","1.9","1.4","2.2","2.4","1.5","1.7"
"Support activities to agriculture...............................................","15.8","3.8","-6.9","1.9","-18.8","-2.6","0.0"
"Forestry & logging...................................................................","7.9","5.0","3.3","1.0","8.2","4.4","2.0"
"Fishing & aquaculture.............................................................","5.1","5.9","2.1","-8.6","-17.3","-1.7","9.7"
"Mining and quarrying..................................................................","19.0","-4.2","14.9","12.3","9.5","4.5","2.8"
"Manufacturing.............................................................................","-0.6","5.6","2.5","3.6","3.1","0.5","4.2"
"Manufacture of food, beverages and tobacco.........................","5.7","10.5","1.4","6.0","3.9","1.1","7.0"
"All other manufacturing...........................................................","-3.7","2.8","3.2","2.2","2.6","0.1","2.5"
"Electricity supply.........................................................................","13.6","9.8","7.3","11.5","9.5","8.9","10.5"
"Water supply; sewerage, waste management............................","3.1","0.9","3.9","2.7","5.8","2.6","1.6"
"Construction...............................................................................","11.3","6.1","13.1","13.8","9.9","8.5","6.6"
"Wholesale and retail trade, repairs.............................................","7.0","8.4","6.9","5.9","3.7","5.7","6.3"
"Transport and storage................................................................","2.6","1.3","5.5","8.0","6.5","7.2","8.8"
"Accommodation and food service activities................................","3.1","-4.6","-16.7","-1.3","13.3","14.3","16.6"
"Information communication technology.......................................","2.6","12.5","14.5","7.4","9.9","11.0","11.4"
"Telecommunications...............................................................","5.0","17.1","20.1","8.6","11.4","13.0","13.5"
"Publishing, broadcasting, other IT and information activities...","-3.2","0.8","-1.9","3.0","4.0","2.9","1.9"
"Financial and insurance activities...............................................","6.0","8.2","8.3","9.4","6.9","2.8","5.6"
"Real estate.................................................................................","4.0","4.1","5.6","7.2","8.8","6.1","4.1"
"Professional, scientific and technical activities............................","6.2","6.7","4.1","3.6","5.1","4.5","5.4"
"Administrative and support service activities..............................","2.3","1.2","2.4","1.5","3.9","3.0","6.4"
"Public administration and defence..............................................","4.0","2.8","5.6","5.5","5.6","6.5","6.1"
"Education...................................................................................","11.1","6.3","7.8","4.9","5.3","5.1","5.8"
"Human health and social work activities.....................................","-2.8","7.7","8.1","5.8","4.8","4.3","4.5"
"Arts, entertainment and recreation..............................................","-2.6","3.0","3.0","1.5","5.4","7.0","6.4"
"Other service activities...............................................................","4.0","7.3","6.5","6.0","6.0","7.0","6.7"
"Activities of households as employers;.......................................","1.5","1.5","1.5","1.5","1.4","1.6","1.6"
"Less: Financial intermediation services indirectly measured.......","10.1","5.2","11.3","13.5","0.5","-3.3","1.1"
"All industries at basic prices...................................................","4.1","5.4","5.6","6.1","6.1","4.8","6.5"
"All industries excl. agriculture and forestry..................................","4.6","5.4","6.1","6.4","6.5","5.8","6.5"
"Taxes less subsidies on products..........................................","7.7","9.5","3.4","2.8","4.4","5.4","5.2"
"GDP at market prices...............................................................","4.5","5.9","5.4","5.7","5.9","4.9","6.3"
"Provisional","","","","","","",""
